Licensee,DBA,License #,Street Address ,City,Zip
ACADEMY OF THE HEALING ARTS LLC,HIGH VALLEY HEALING ALAMOSA,402-00869,0711 West Highway 160 Suite B,Alamosa,81101
GARCIA & MAESTAS INC,LA CASA CANNABIS II,402-00848,5986 Budweiser Way,Alamosa,81101
COOPER MASON VENTURES LLC,SILVERPEAK APOTHECARY,402-00798,"520 East Cooper Avenue, Units, LL2 & LL3",Aspen,81611
GT INDUSTRIES LLC,HUSH CANNABIS & CONFECTIONS,402-01181,40833 Highway 6,Avon,81620
HERBAL ELEMENTS LLP,TUMBLEWEED MEDICAL MILE,402-00309,"40928 US Highway 6, Unit 2E",Avon,81620
J&R PARTNERS LLC,NATIVE ROOTS VAIL,402-00893,"041290 Highway 6, Unit B5",Avon,81620
SUNRISE SOLUTIONS,,402-00576,43 Main Street,Bailey,80421
DOWN VALLEY HYH LLC,GOODPEOPLE,402-01304,175 Midland Avenue Unit #10,Basalt,81621
NEAT THINGS LLC,THE STATION,402-01296,174 Midland Avenue,Basalt,81621
UNITED PATIENTS OF AMERICA LLC,ASPEN ROARING FORK WELLNESS,402-00037,"24505 Highway 82, Unit 2A",Basalt,81621
H&J SERVICES INC,BEMINDFUL,402-01000,1015 North 2nd Street,Berthoud,80513
NATURAL ALTERNATIVES FOR LIFE LLC,GREEN TREE MEDICINALS,402-00859,1090 North 2nd Street,Berthoud,80513
BBM ENTERPRISES LLC,,402-00533,"1021 Pearl Street, Suite B",Boulder,80302
BOLDER VENTURES LTD,THE PEACEFUL CHOICE,402-00924,"7464 Arapahoe Avenue, Unit A9",Boulder,80303
BOULDER TREATMENTS LLC,ROOT ORGANIC MMC,402-00943,"5420 Arapahoe Road, Unit D,",Boulder,80303
BOULDER WELLNESS CENTER LLC,,402-00642,"5420 Arapahoe Avenue, Unit F",Boulder,80303
CROSSROADS WELLNESS LLC,BOULDER BOTANICS,402-00223,"1750 30th Street, Unit 7,",Boulder,80301
MAGNOLIA ROAD INC,MAGNOLIA ROAD CANNABIS COMPANY,402-00883,1750 30th Street Unit 84B,Boulder,80301
MMJ AMERICA INC,BOULDER MMJ,402-00285,"1909 Broadway Street, Suite LL",Boulder,80302
ORGANIC WELLNESS DISPENSARY LLC,GREEN TREE MEDICINALS,402-00473,"5565 Arapahoe Avenue, Suite G",Boulder,80303
SUSTAINABLE HEALTH LLC,14ER HOLISTICS,402-00454,"2897 Mapleton Avenue, Suite 800",Boulder,80301
THE DANDELION LLC,THE DANDELION,402-00194,845 Walnut Street,Boulder,80302
THE GENETIC LOCKER INC,TERRAPIN CARE STATION,402-00923,"5370 Manhattan Circle, Suite 104",Boulder,80303
TRILL THERAPEUTICS LLC,TRILL ALTERNATIVES,402-00976,"1537 Pearl Street, Suite B",Boulder,80302
BELLFLOWER LLC,ORGANIX,402-00811,"1795 Airport Road, Suite A2,",Breckenridge,80424
ASCEND II LLC,ASCEND CANNABIS CO,402-00823,204 East Main Street,Buena Vista,81211
JMC ENTERPRISES INC,FREMONT COUNTY CANNABIS,402-00157,1505 Elm Avenue,Canon City,81212
VIRTUAL MARKETING LLC,MAGGIES FARM,402-00435,"3055 East US Highway 50, Unit F",Canon City,81212
CMED LLC,ROCKY MOUNTAIN HIGH,402-00569,"615 Buggy Circle, Unit D",Carbondale,81623
PLAIN JANE ORGANICS LLC,,402-01288,4490 Bent Brothers Boulevard Unit B1-B2,Colorado City,81019
37 INC,APOTHECARY FARMS,402-01119,3049 Delta Drive,Colorado Springs,80910
ADAMS GREEN CROSSING LLC,THE CHRONIC BOUTIQUE,402-01097,3640 West Colorado Avenue,Colorado Springs,80904
ADAMS GREEN CROSSING LLC,THE CHRONIC BOUTIQUE,402-01144,325 East Pikes Peak Avenue,Colorado Springs,80903
ADAMS GREEN CROSSING LLC,THE CHRONIC BOUTIQUE,402-01145,"2727 Palmer Park Boulevard, Suite A",Colorado Springs,80909
ADVANCE CURE FOR VERA BESTURA LLC,HERBAN FARMER,402-00789,"2755 Ore Mill Road, Unit 13",Colorado Springs,80904
AJC INDUSTRIES LLC,TWEEDLEAF,402-00390,1602 West Colorado Avenue,Colorado Springs,80904
BEST BUDZ LLC,BEST BUDZ,402-00401,3729 Austin Bluffs Parkway,Colorado Springs,80918
BEST BUDZ LLC,BEST BUDZ,402-01169,"2545 - 2547 Platte Place,",Colorado Springs,80909
BEST BUDZ LLC,BEST BUDZ,402-01171,3850 North Nevada Avenue,Colorado Springs,80907
BEST MEDS LLC,,402-01207,"2606 West Colorado Avenue, Unit 200",Colorado Springs,80907
