county_name,State,crime_rate_per_100000,index,EDITION,PART,IDNO,CPOPARST,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,INDEX,MODINDX,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,FIPS_ST,FIPS_CTY
"Denver County, CO",CO,599.0808243,170,1,4,263,628545,628545,5,3,100,3891,23697,39,383,1170,2299,5152,14857,3688,98,649495,8,31
"Pueblo County, CO",CO,501.7002063,303,1,4,298,162766,162766,4,3,100,810,7411,8,22,199,581,1962,4931,518,43,161451,8,101
"Huerfano County, CO",CO,414.1739531,475,1,4,275,6610,6610,3,3,100,27,155,0,4,6,17,47,97,11,0,6519,8,55
"El Paso County, CO",CO,379.058506,569,1,4,268,645802,644965,10,9,100,2483,21508,20,448,566,1449,4680,14760,2068,117,655044,8,41
"Gilpin County, CO",CO,357.079093,651,1,4,271,5543,5543,4,3,87.8044,20,222,0,3,0,16,28,185,9,0,5601,8,47
"Adams County, CO",CO,336.3221531,724,1,4,247,457228,457686,8,10,100,1578,12826,22,274,238,1044,2175,9187,1464,101,469193,8,1
"Washington County, CO",CO,333.1251301,737,1,4,308,4836,4836,1,1,100,16,77,0,3,0,13,15,57,5,1,4803,8,121
"Mesa County, CO",CO,317.1720184,805,1,4,286,149118,148399,6,5,100,468,4291,5,108,44,311,573,3456,262,35,147554,8,77
"Gunnison County, CO",CO,309.5376282,837,1,4,273,15621,15621,4,4,100,48,308,0,5,2,41,35,260,13,0,15507,8,51
"Arapahoe County, CO",CO,297.9886998,889,1,4,249,637227,593040,13,12,100,1809,16014,22,265,552,970,2879,11787,1348,110,607070,8,5
"Kit Carson County, CO",CO,286.176434,952,1,4,279,8255,8255,3,3,100,23,106,0,4,0,19,15,84,7,0,8037,8,63
"Weld County, CO",CO,274.2924922,1008,1,4,309,256887,247841,24,25,99.8711,740,5384,6,61,89,583,971,4127,286,52,269785,8,123
"Clear Creek County, CO",CO,265.7513011,1054,1,4,257,9137,9137,4,4,100,24,149,0,1,1,22,30,108,11,8,9031,8,19
"Fremont County, CO",CO,254.0311296,1123,1,4,269,48002,48002,3,3,100,118,853,0,23,5,90,198,625,30,4,46451,8,43
"Bent County, CO",CO,246.1322082,1172,1,4,252,6336,6336,1,1,100,14,89,0,0,1,13,37,50,2,0,5688,8,11
"Saguache County, CO",CO,241.6237113,1208,1,4,302,6534,6314,2,2,100,15,84,0,0,0,15,31,47,6,1,6208,8,109
"Montezuma County, CO",CO,230.0912565,1287,1,4,289,25794,25794,5,4,100,59,411,1,1,5,52,60,326,25,1,25642,8,83
"Jefferson County, CO",CO,226.1697215,1310,1,4,277,504143,547353,11,13,99.3726,1248,14902,8,172,238,830,2186,11565,1151,69,551798,8,59
"Larimer County, CO",CO,225.6414801,1313,1,4,282,304528,309752,7,9,100,713,7621,3,87,75,548,1098,6270,252,52,315988,8,69
"Sedgwick County, CO",CO,211.8644068,1377,1,4,305,2397,2397,1,1,100,5,20,0,0,0,5,6,13,1,0,2360,8,115
"Crowley County, CO",CO,206.6892146,1411,1,4,260,5815,5815,1,1,100,11,2,0,0,0,11,1,1,0,0,5322,8,25
"Teller County, CO",CO,206.2298604,1417,1,4,307,23651,23679,3,4,100,48,243,0,5,0,43,52,179,12,3,23275,8,119
"Logan County, CO",CO,204.8997773,1423,1,4,285,22932,22932,2,2,100,46,528,2,4,4,36,150,364,14,1,22450,8,75
"Archuleta County, CO",CO,196.8181073,1479,1,4,250,12179,12179,3,2,100,24,198,0,3,1,20,65,125,8,3,12194,8,7
"Lincoln County, CO",CO,184.1620626,1588,1,4,284,5529,5529,3,3,86.6341,10,65,0,0,0,9,12,49,4,0,5430,8,73
"Routt County, CO",CO,182.8775571,1594,1,4,301,23560,22674,4,3,100,43,377,1,8,4,30,55,296,26,3,23513,8,107
"La Plata County, CO",CO,182.0433901,1603,1,4,281,52635,52635,6,6,34.2472,97,829,2,9,8,79,148,647,34,7,53284,8,67
"Otero County, CO",CO,181.7890178,1607,1,4,292,19126,18684,5,4,100,34,311,0,7,3,24,98,203,10,2,18703,8,89
"Alamosa County, CO",CO,178.4285978,1630,1,4,248,15927,15927,3,2,43.1092,29,293,0,3,3,22,52,226,15,3,16253,8,3
"Montrose County, CO",CO,176.8476899,1637,1,4,290,41578,41578,4,4,97.0128,72,930,2,4,3,63,203,680,47,5,40713,8,85
"Eagle County, CO",CO,171.5592833,1682,1,4,266,53513,52571,6,6,100,90,838,2,18,4,66,116,704,18,11,52460,8,37
"Costilla County, CO",CO,170.5514497,1690,1,4,259,3713,3713,1,1,100,6,13,0,0,0,6,8,1,4,0,3518,8,23
"Boulder County, CO",CO,169.0060894,1704,1,4,253,313707,302030,8,7,96.3416,524,6623,0,66,97,361,1106,5226,291,106,310048,8,13
"Lake County, CO",CO,164.2485628,1745,1,4,280,7530,7530,2,2,100,12,66,0,2,1,9,12,52,2,0,7306,8,65
"Pitkin County, CO",CO,155.3599171,1821,1,4,296,16397,17339,3,4,100,27,400,0,6,1,20,26,368,6,2,17379,8,97
"Prowers County, CO",CO,154.5846554,1832,1,4,297,12723,12723,2,2,100,19,318,0,0,2,17,61,245,12,0,12291,8,99
"Rio Grande County, CO",CO,152.5036008,1845,1,4,300,11901,12121,4,5,100,18,231,2,1,5,10,72,156,3,1,11803,8,105
"Jackson County, CO",CO,146.5201465,1898,1,4,276,1389,1389,1,1,91.6667,2,7,0,0,0,2,2,4,0,0,1365,8,57
"San Juan County, CO",CO,144.5086705,1918,1,4,303,702,702,1,1,100,1,16,0,0,0,1,4,11,1,0,692,8,111
"Kiowa County, CO",CO,140.5481377,1958,1,4,278,1453,1453,1,1,100,2,1,0,0,0,2,0,0,1,0,1423,8,61
"Baca County, CO",CO,135.7957632,2001,1,4,251,3848,3848,4,4,100,5,12,0,0,0,5,2,10,0,0,3682,8,9
"Rio Blanco County, CO",CO,132.2168356,2029,1,4,299,6876,6876,3,3,100,9,84,0,1,1,7,15,65,4,0,6807,8,103
"Moffat County, CO",CO,129.7412806,2049,1,4,288,13637,13637,2,2,100,17,284,1,4,0,12,47,230,7,4,13103,8,81
"Summit County, CO",CO,129.1493595,2056,1,4,306,28359,28359,6,6,100,37,859,1,17,2,17,68,771,20,7,28649,8,117
"Las Animas County, CO",CO,124.6019659,2089,1,4,283,15245,15245,2,2,96.553,18,167,0,1,7,10,41,121,5,0,14446,8,71
"Park County, CO",CO,124.0617828,2094,1,4,294,16312,16312,2,2,100,20,70,0,3,0,17,27,41,2,4,16121,8,93
"Garfield County, CO",CO,122.159785,2108,1,4,270,57048,47749,8,6,100,70,1023,1,11,4,54,178,784,61,3,57302,8,45
"Custer County, CO",CO,116.6861144,2164,1,4,261,4263,4263,1,1,100,5,51,0,1,0,4,13,35,3,1,4285,8,27
"Cheyenne County, CO",CO,105.8201058,2259,1,4,256,1902,1902,1,1,100,2,20,0,0,0,2,3,15,2,1,1890,8,17
"Delta County, CO",CO,104.9765443,2268,1,4,262,30872,30872,5,5,98.5923,32,572,0,4,5,24,98,446,28,10,30483,8,29
"Morgan County, CO",CO,88.01577243,2407,1,4,291,28565,28565,6,5,94.4679,25,498,0,0,3,22,94,389,15,2,28404,8,87
"Douglas County, CO",CO,83.0165739,2456,1,4,265,296058,296209,4,6,100,254,3071,1,50,15,188,539,2438,93,28,305963,8,35
"San Miguel County, CO",CO,78.14535035,2504,1,4,304,7594,7594,2,2,100,6,115,0,0,0,6,8,105,2,0,7678,8,113
"Yuma County, CO",CO,68.95872328,2569,1,4,310,10240,10240,3,3,100,7,50,2,3,0,2,7,40,3,0,10151,8,125
"Chaffee County, CO",CO,54.02485143,2689,1,4,255,18180,18180,3,3,100,10,273,0,2,0,8,48,221,4,1,18510,8,15
"Broomfield County, CO",CO,50.44475459,2724,1,4,254,58145,58145,1,1,100,30,1218,1,7,6,16,90,1081,47,6,59471,8,14
"Dolores County, CO",CO,49.28536225,2730,1,4,264,2084,2084,1,1,100,1,26,0,0,0,1,15,11,0,0,2029,8,33
"Elbert County, CO",CO,46.34896558,2752,1,4,267,23495,22865,4,3,100,11,108,0,1,1,9,39,66,3,0,23733,8,39
"Conejos County, CO",CO,36.24501631,2840,1,4,258,8406,8406,1,1,100,3,50,0,0,0,3,23,20,7,3,8277,8,21
"Grand County, CO",CO,34.99195185,2850,1,4,272,14749,1852,4,1,100,5,45,0,1,1,3,6,39,0,0,14289,8,49
"Phillips County, CO",CO,22.95684114,2920,1,4,295,4460,4460,3,3,97.7803,1,15,0,0,0,1,5,9,1,0,4356,8,95
"Ouray County, CO",CO,21.94426158,2924,1,4,293,4416,3496,3,2,100,1,28,0,0,0,1,4,24,0,0,4557,8,91
"Mineral County, CO",CO,0,3110,1,4,287,718,718,1,1,100,0,1,0,0,0,0,0,0,1,0,721,8,79
"Hinsdale County, CO",CO,0,3124,1,4,274,841,841,1,1,100,0,10,0,0,0,0,5,5,0,0,813,8,53
